timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
159285.719,98.3962402,2.83325195,2.00640869,14.130127,0.02671814,14.9794922,0.013669968,94.3336487,0.034168243,0.000876546,36.6552734,0.011320114,0.000378072,8.23E-07,0.013926029,0.002100736,50.6904297,0.020111084,1.62438965,0.480072021,0.251348495,0.062755585,-95.2612305,77.4482422,2.13801193,1.4128418,2.72583008,-5.04650879,251.679688,175.552246,109.398926,16.2539062,1650.51562
159357.141,98.6967163,1.78222656,1.85772705,15.6137695,0.052352905,31.2695312,0.017438889,93.8339844,0.019838333,0.001273155,44.4238281,0.015993118,0.000998735,9.23E-07,0.018285751,0.002315998,55.5546875,0.017177582,2.39892578,0.614013672,0.2585392,0.097671509,-98.2646484,69.5742188,2.13708878,0.361816406,2.19824219,-6.02416992,272.123657,174.916748,110.009399,16.21875,1623.98438
159428.578,98.6220703,1.13214111,1.66290283,17.2094727,0.032867432,64.6796875,0.025976181,94.6835938,0.017769337,0.003180981,53.4726562,0.022186518,9.32E-05,1.01E-06,0.024353027,0.002608716,58.237793,0.014296055,3.91552734,0.82824707,0.266546249,0.163848877,-99.5039062,70.0351562,2.13273978,0.639892578,2.26611328,-6.18725586,276.791016,175.455078,110.226746,16.0586853,1615.14844
159500,98.7213745,0.694030762,1.51779175,18.5117188,0.024846077,85.1152344,0.034299851,93.9833298,0.0184021,0.006754398,61.640625,0.022206307,0.000186116,1.11E-06,0.032114029,0.002913952,59.659668,0.011971474,5.63037109,1.09320068,0.273347855,0.258117676,-99.8504333,70.9355469,2.13003016,-0.266906738,1.96704102,-6.480793,266.054688,173.516357,110.665543,15.8322754,1588.6604
159571.422,98.6449738,0.512786865,1.39080811,19.8984375,0.024429321,91.1345215,0.031383157,93.2993164,0.021263123,0.009361982,68.6958008,0.016540051,0.000171185,1.24E-06,0.047344208,0.003177457,60.2192993,0.010485172,7.76635742,1.36392212,0.280977249,0.384674072,-99.9086914,71.9642944,2.131073,0.232421875,2.39379883,-7.1418457,287.230469,174.269531,110.555023,15.9868774,1598.76953
159642.859,98.7485962,0.401298523,1.28697205,21.4023438,0.016888619,92.6782837,0.027826309,90.7900391,0.026977539,0.015263557,72.2021484,0.022069931,0.000111163,1.40E-06,0.070652008,0.003234945,60.6761475,0.010438733,9.11914062,1.44967651,0.289699554,0.493255615,-99.90448,70.4935303,2.12940931,0.051757813,2.88232422,-6.38012695,265.892334,173.137894,110.204834,16.0480347,1601.16406
159714.281,98.6718445,0.367431641,1.20962524,22.9555664,0.010638237,92.3121338,0.022963524,88.7753906,0.029607534,0.018939018,75.4970703,0.040733337,7.49E-05,1.58E-06,0.086345673,0.003272664,60.8937988,0.010518253,10.8061523,1.52481842,0.298728943,0.629302979,-99.8773575,69.8032227,2.12850237,-0.458740234,2.20818329,-6.75750732,257.683594,174.63623,110.636414,16.0899658,1606.47656
159785.719,98.6484985,0.281707764,1.07510376,25.2192383,0.013134956,89.6455078,0.01791954,86.4042969,0.031936884,0.019767761,76.026123,0.074913025,0.000135779,1.66E-06,0.078811646,0.003082097,59.7102051,0.01227212,12.3881836,1.35627747,0.311408997,0.735931396,-99.819519,69.6347656,2.12800074,0.534912109,2.55566406,-6.5168457,249.050781,173.70752,110.816772,16.1057129,1597.875
159857.141,98.7029724,0.245300293,1.02521133,27.2568359,0.016328812,84.1396484,0.013662338,81.3759766,0.030701637,0.035133362,77.0429688,0.089885712,8.77E-05,1.80E-06,0.075714111,0.002942175,58.4360352,0.013792515,12.9267578,1.2550354,0.323375702,0.86825943,-99.6816711,64.9335938,2.12659597,0.265380859,2.69116211,-7.09814453,254.121094,174.325195,110.864136,15.9324036,1589.50879
159928.578,98.7585144,0.233242035,0.942565918,29.5791016,0.023788452,76.84375,0.01284951,79.5007324,0.018283844,0.032073975,77.3222656,0.126907349,9.60E-05,1.94E-06,0.071391106,0.00274843,58.2922363,0.016290665,14.9194336,1.10314941,0.337574005,1.00715637,-99.479248,65.6690674,2.12736464,0.118041992,2.81323242,-7.10864258,267.242188,172.925293,111.347168,15.5449219,1568.5
