TimeStamp,Alpha_TP9,Alpha_FP1,Alpha_FP2,Alpha_TP10,Beta_TP9,Beta_FP1,Beta_FP2,Beta_TP10,Delta_TP9,Delta_FP1,Delta_FP2,Delta_TP10,Gamma_TP9,Gamma_FP1,Gamma_FP2,Gamma_TP10,Theta_TP9,Theta_FP1,Theta_FP2,Theta_TP10,Mellow,Concentration,RAW_TP9,RAW_FP1,RAW_FP2,RAW_TP10
2016-05-26 20:40:27,0.04938409,-0.35630924,-0.34798494,0.12853022,0.3537791,-0.13108946,-0.43594027,0.5482177,0.23178536,-0.790731,-0.7337547,-0.022784393,0.5060014,-0.25036463,-0.6383425,0.43525502,-0.038099844,-0.88269025,-0.96910644,-0.29338628,-0.18308978,1.0,840.58496,838.94,817.55524,787.94556
2016-05-26 20:40:28,-0.044804394,-0.19303556,-0.44062284,0.12853022,0.41779414,-0.07485758,-0.42529926,0.5482177,0.07809785,-1.1617528,-0.6840914,-0.022784393,0.4909262,-0.08998286,-0.39191076,0.43525502,-0.031177616,-0.7798303,-0.8649976,-0.29338628,-0.5170898,1.0,820.8452,820.8452,812.6203,802.7504
2016-05-26 20:40:29,0.27581656,-0.11360279,-0.4989553,0.12853022,0.42715904,-0.117176846,-0.34800857,0.5482177,-0.05008654,-1.2061332,-0.9814762,-0.022784393,0.5510518,-0.024563482,-0.31039917,0.43525502,-0.43528432,-0.7351859,-0.76809126,-0.29338628,-0.26026964,1.0,842.2299,835.65,815.9103,783.0106
2016-05-26 20:40:30,0.39700955,-0.18457206,-0.16350327,0.12853022,0.40367326,-0.031579014,-0.29987928,0.5482177,-0.6119191,-1.3378767,-1.122145,-0.022784393,0.59879285,-0.16767737,-0.34216234,0.43525502,-0.11537373,-0.90137696,-0.66013545,-0.29338628,-0.12538502,1.0,834.005,832.36005,834.005,825.78015
2016-05-26 20:40:31,0.35203913,-0.3860457,-0.13504303,0.12853022,0.3360866,-0.23256192,-0.3328124,0.5482177,0.045344558,-0.8790469,-0.8187129,-0.022784393,0.48353615,-0.4592846,-0.5083865,0.43525502,0.06870336,-0.74914986,-0.77982634,-0.29338628,0.21738058,1.0,853.7448,842.2299,827.4251,817.55524
2016-05-26 20:40:32,0.36874783,-0.26520768,-0.48617116,0.12853022,0.37502295,-0.21671751,-0.336968,0.5482177,-0.2607198,-0.6056538,-0.8930023,-0.022784393,0.45245633,-0.3397514,-0.5081799,0.43525502,-0.13934647,-0.79740477,-1.1064943,-0.29338628,0.4544551,1.0,850.45483,834.005,819.2002,848.8099
2016-05-26 20:40:33,0.45944655,0.07141636,-0.6063541,0.12853022,0.51624936,-0.14150673,-0.39905542,0.5482177,-0.16526654,-0.843396,-0.9555771,-0.022784393,0.3792738,-0.27669814,-0.5067309,0.43525502,-0.013453393,-0.9103443,-0.8305385,-0.29338628,0.7874597,1.0,843.87494,834.005,822.4902,820.8452
2016-05-26 20:40:35,0.42775187,-0.16250236,-0.34745878,0.12853022,0.37256455,-0.19293022,-0.33407506,0.5482177,0.038415287,-0.69725883,-0.88450915,-0.022784393,0.298433,-0.32686818,-0.5078002,0.43525502,0.10058686,-0.8228575,-0.6794266,-0.29338628,1.0,0.77622,852.0998,829.07007,822.4902,830.7151
2016-05-26 20:40:36,0.3228671,-0.24472988,-0.34534842,0.12853022,0.34622592,-0.13302472,-0.33421445,0.5482177,0.2767539,-0.8967214,-0.90384865,-0.022784393,0.2528605,-0.25704387,-0.48389795,0.43525502,-0.11446649,-0.7652523,-0.9047759,-0.29338628,1.0,0.47473702,804.3954,837.295,814.26526,778.0757
2016-05-26 20:40:37,0.27922893,-0.4187811,-0.85671914,0.12853022,0.33314848,-0.13230851,-0.5241221,0.5482177,-0.08114107,-0.83402264,-0.78163517,-0.022784393,0.2526529,-0.3333079,-0.5058124,0.43525502,-0.005796972,-0.60410357,-0.65485364,-0.29338628,1.0,0.1608154,853.7448,822.4902,824.13513,845.5199
2016-05-26 20:40:38,0.36051282,-0.5072507,-0.94036025,0.12853022,0.44109705,-0.18193932,-0.44608456,0.5482177,-0.24203172,-0.717001,-1.0791057,-0.022784393,0.23941605,-0.32573062,-0.60893804,0.43525502,-0.09438656,-0.7282282,-0.6907214,-0.29338628,0.7924799,-0.20101793,850.45483,827.4251,824.13513,832.36005
2016-05-26 20:40:39,0.55654824,-0.45163515,-0.94669455,0.12853022,0.50926894,-0.30732322,-0.19764552,0.5482177,-0.27159187,-0.8632373,-1.2477493,-0.022784393,0.3263676,-0.30536634,-0.41899624,0.43525502,-0.043155834,-0.9855364,-0.91405016,-0.29338628,1.0,-0.5032687,850.45483,832.36005,819.2002,827.4251
2016-05-26 20:40:40,0.48288268,-0.41947252,-0.8768845,0.5290884,0.49843273,-0.17332608,-0.4258095,0.49985933,0.021336516,-0.82153046,-0.8375241,-0.4831933,0.3661171,-0.23353536,-0.503889,0.6083464,-0.16215053,-0.72473216,-0.63099545,-0.029687626,1.0,-0.37117094,838.94,835.65,815.9103,802.7504
2016-05-26 20:40:41,0.65100825,-0.44501293,-0.89798355,0.34759834,0.38925996,-0.08637523,-0.57096225,0.49353707,-0.08091947,-1.1150502,-0.6462711,-0.53365916,0.22117384,-0.29141414,-0.6467976,0.6560049,0.07230697,-0.5658463,-0.6667812,-0.043085475,1.0,-0.25945368,820.8452,835.65,824.13513,825.78015
2016-05-26 20:40:42,0.6022237,-0.5910348,-0.8098811,0.34759834,0.3907158,-0.28730813,-0.46292794,0.49353707,0.09779962,-1.0985214,-0.7500969,-0.53365916,0.29270566,-0.52889,-0.56455517,0.6560049,-0.2555468,-0.7884387,-0.90799147,-0.043085475,1.0,-0.5957571,835.65,824.13513,809.3303,832.36005
2016-05-26 20:40:43,0.5842424,-0.6248011,-0.6782169,0.34759834,0.5372603,-0.26768178,-0.41574284,0.49353707,-0.3427496,-1.0118762,-0.92817813,-0.53365916,0.2306062,-0.42542368,-0.57039386,0.6560049,-0.44530886,-0.8112696,-0.63064516,-0.043085475,1.0,-0.8917502,845.5199,834.005,822.4902,806.04034
